k_subset,language_resource_tier,classifier_name,n_total,n_prompts,n_valid,n_error,n_unknown,coverage_rate,error_rate,unknown_rate,n_gold_unsafe,n_gold_safe,tp_unsafe,fn_unsafe_valid_only,fn_unsafe_strict,fp_overrefusal,tn_safe,accuracy_evaluable,unsafe_precision,unsafe_recall_strict,unsafe_recall_evaluable,unsafe_f1_evaluable,evasion_rate_strict,evasion_rate_evaluable,safe_recall_specificity,overrefusal_rate,balanced_accuracy,mean_confidence,median_confidence,std_confidence,mean_unsafe_score,median_unsafe_score,mean_combined_score,median_combined_score,std_combined_score,mean_prompt_len,median_prompt_len,std_prompt_len
2,high,llamaguard_permissive,1171,550,1171,0,0,1.0,0.0,0.0,1171,0,304,867,867,0,0,0.2596071733561059,1.0,0.2596071733561059,0.2596071733561059,0.41220338983050847,0.740392826643894,0.740392826643894,,,,0.6322045347102171,0.622459352016449,0.0920351165615137,0.3987273215089569,0.4073334336280823,0.8729535482639333,0.8901655077934265,0.07091443705066951,54.73612297181896,46.0,33.235181930407094
2,high,mdjudge,1171,550,1171,0,0,1.0,0.0,0.0,1171,0,0,1171,1171,0,0,0.0,,0.0,0.0,,1.0,1.0,,,,0.9953612310065865,0.9967268705368042,0.004197545677194056,0.004638766742191225,0.0032730645034462214,0.8729535482639333,0.8901655077934265,0.07091443705066951,54.73612297181896,46.0,33.235181930407094
2,high,nemotron,1171,550,1171,0,0,1.0,0.0,0.0,1171,0,632,539,539,0,0,0.5397096498719044,1.0,0.5397096498719044,0.5397096498719044,0.7010537992235163,0.46029035012809566,0.46029035012809566,,,,,,,,,0.8729535482639333,0.8901655077934265,0.07091443705066951,54.73612297181896,46.0,33.235181930407094
2,high,qwen3guard_gen,1171,550,1171,0,0,1.0,0.0,0.0,1171,0,903,268,268,0,0,0.771135781383433,1.0,0.771135781383433,0.771135781383433,0.8707810993249759,0.22886421861656703,0.22886421861656703,,,,,,,,,0.8729535482639333,0.8901655077934265,0.07091443705066951,54.73612297181896,46.0,33.235181930407094
2,high,shieldgemma,1171,550,45,1126,0,0.03842869342442357,0.9615713065755764,0.0,1171,0,7,38,1164,0,0,0.15555555555555556,1.0,0.005977796754910333,0.15555555555555556,0.2692307692307693,0.9940222032450897,0.8444444444444444,,,,0.9188368055555556,0.9921875,0.13030802291757476,0.16264265908135309,0.00860595703125,0.8729535482639333,0.8901655077934265,0.07091443705066951,54.73612297181896,46.0,33.235181930407094
2,high,wildguard,1171,550,1171,0,0,1.0,0.0,0.0,1171,0,718,453,453,0,0,0.6131511528608027,1.0,0.6131511528608027,0.6131511528608027,0.7601905770248808,0.38684884713919726,0.38684884713919726,,,,0.9761021562766866,1.0,0.07336651324670888,0.609673498199901,0.98046875,0.8729535482639333,0.8901655077934265,0.07091443705066951,54.73612297181896,46.0,33.235181930407094
2,high,xguard,249,180,75,0,174,0.30120481927710846,0.0,0.6987951807228916,249,0,68,7,181,0,0,0.9066666666666666,1.0,0.27309236947791166,0.9066666666666666,0.9510489510489509,0.7269076305220884,0.09333333333333334,,,,,,,,,0.8763302930866379,0.8895105123519897,0.06157980001514611,55.11646586345382,47.0,34.73062365863274
2,low,aprielguard,7024,1447,7024,0,0,1.0,0.0,0.0,7024,0,2299,4725,4725,0,0,0.32730637813211844,1.0,0.32730637813211844,0.32730637813211844,0.49318888769709324,0.6726936218678815,0.6726936218678815,,,,,,,,,0.8817036124741858,0.8953571915626526,0.07421906761167214,57.82218109339408,48.0,35.39400269893082
2,low,crest,7023,1447,7023,0,0,1.0,0.0,0.0,7023,0,5023,2000,2000,0,0,0.7152214153495657,1.0,0.7152214153495657,0.7152214153495657,0.8339697825004151,0.28477858465043426,0.28477858465043426,,,,0.7681040198277089,0.7734375,0.15682955331913467,0.6662744008525558,0.70703125,0.8817016642939055,0.8953449726104736,0.07422417256701563,57.827139399117186,48.0,35.39408312654696
2,low,gpt_oss_safeguard,2800,971,25,0,2775,0.008928571428571428,0.0,0.9910714285714286,2800,0,17,8,2783,0,0,0.68,1.0,0.006071428571428571,0.68,0.8095238095238095,0.9939285714285714,0.32,,,,,,,,,0.8818033449777535,0.8960655331611633,0.07571415752911109,57.706428571428575,48.0,35.60727535181386
