k_subset,language,prompts,language_resource_tier,mean_chars,median_chars,p95_chars,mean_words,median_words
3,Kannada,156,low,65.1474358974359,57.5,122.75,8.365384615384615,7.0
3,Estonian,154,low,64.94155844155844,56.0,146.35,10.188311688311689,8.0
3,Bulgarian,156,medium,64.8076923076923,53.0,145.25,11.461538461538462,9.0
3,Vietnamese,151,medium,64.5364238410596,55.0,145.0,15.158940397350994,13.0
3,Gujarati,157,low,64.29936305732484,53.0,135.39999999999992,12.121019108280255,10.0
3,Swahili,153,low,64.16993464052288,55.0,129.60000000000002,10.065359477124183,9.0
3,Somali,108,low,64.16666666666667,51.5,158.29999999999998,10.546296296296296,8.0
3,Serbian,158,low,63.86708860759494,54.5,131.90000000000003,11.481012658227849,10.0
3,Hungarian,151,low,63.56953642384106,55.0,156.0,9.139072847682119,8.0
3,Kyrgyz,138,low,63.507246376811594,54.0,143.45000000000002,8.96376811594203,7.0
3,Macedonian,152,low,63.48026315789474,56.5,144.34999999999997,11.407894736842104,10.0
3,Javanese,147,low,63.4421768707483,55.0,128.79999999999995,10.040816326530612,9.0
3,Burmese,142,low,63.09154929577465,55.0,119.0,5.23943661971831,5.0
3,Catalan,158,low,63.0,52.5,144.7000000000001,11.436708860759493,10.0
3,Azerbaijani,155,low,62.47741935483871,52.0,135.3999999999997,8.774193548387096,7.0
3,Lithuanian,150,low,62.24666666666667,51.5,138.54999999999998,9.233333333333333,8.0
3,Dutch,152,medium,61.99342105263158,54.0,139.79999999999995,11.256578947368421,9.0
3,Afrikaans,157,low,61.97452229299363,53.0,125.19999999999993,11.987261146496815,10.0
3,Sindhi,148,low,61.75,49.0,125.90000000000003,13.763513513513514,11.5
3,Ukrainian,158,medium,61.60126582278481,51.0,157.3,10.208860759493671,8.5
3,Norwegian,151,medium,61.496688741721854,56.0,115.5,11.701986754966887,10.0
3,Galician,159,low,61.484276729559745,50.0,147.1,10.955974842767295,9.0
3,Mongolian,139,low,61.21582733812949,50.0,147.49999999999997,9.964028776978417,8.0
3,Yoruba,170,low,61.11176470588235,51.0,132.2999999999999,14.570588235294117,12.0
3,Portuguese,157,high,61.05732484076433,49.0,122.99999999999977,10.885350318471337,9.0
3,Sorani Kurdish,187,low,60.99465240641711,54.0,118.49999999999994,9.770053475935828,8.0
3,Assamese,149,low,60.946308724832214,49.0,125.6,10.322147651006711,8.0
3,Romanian,157,medium,60.93630573248408,52.0,118.79999999999978,11.10828025477707,9.0
3,Russian,152,high,60.78947368421053,50.0,123.89999999999998,9.697368421052632,8.0
3,Ganda,170,low,60.77058823529412,57.0,125.04999999999981,8.282352941176471,7.0
3,Xhosa,87,low,60.50574712643678,52.0,123.10000000000001,7.114942528735632,6.0
3,Swedish,158,medium,60.25949367088607,50.5,140.20000000000005,11.120253164556962,9.0
3,Slovak,157,low,59.94904458598726,48.0,142.79999999999995,10.050955414012739,8.0
3,Turkish,154,medium,59.883116883116884,50.0,133.35,8.188311688311689,7.0
3,Finnish,151,medium,59.83443708609271,50.0,133.5,7.9801324503311255,7.0
3,Bengali,152,medium,59.74342105263158,50.0,119.34999999999997,10.480263157894736,9.0
3,Bosnian,151,low,59.54304635761589,48.0,131.0,10.682119205298013,9.0
3,Latvian,149,low,59.46979865771812,49.0,128.6,9.818791946308725,8.0
3,Urdu,153,medium,59.30718954248366,52.0,113.4,13.431372549019608,12.0
3,Oromo,74,low,58.513513513513516,57.0,108.0,7.675675675675675,7.0
3,Telugu,148,low,58.304054054054056,50.0,118.95000000000002,8.391891891891891,7.0
3,Czech,155,medium,57.96774193548387,46.0,133.89999999999978,9.703225806451613,8.0
3,Danish,157,medium,57.910828025477706,50.0,126.39999999999986,10.598726114649681,9.0
3,Belarusian,149,low,57.76510067114094,46.0,126.19999999999999,9.516778523489933,7.0
3,Croatian,155,low,57.019354838709674,48.0,121.29999999999998,9.825806451612904,9.0
3,Slovenian,147,low,56.78231292517007,44.0,126.0,9.428571428571429,7.0
3,Luo,157,low,56.140127388535035,48.0,113.19999999999999,10.394904458598726,9.0
3,Marathi,146,low,55.534246575342465,48.5,112.75,9.41095890410959,8.0
3,Lao,149,low,55.375838926174495,49.0,97.0,2.664429530201342,2.0
3,Polish,151,medium,55.19205298013245,44.0,132.5,8.456953642384105,7.0
3,Pashto,152,low,54.46052631578947,47.0,108.44999999999999,12.657894736842104,11.0
3,Hausa,95,low,53.85263157894737,46.0,101.79999999999995,10.74736842105263,9.0
3,Persian,155,medium,53.4,42.0,118.89999999999995,11.264516129032257,9.0
3,Icelandic,145,low,52.793103448275865,45.0,110.39999999999986,9.448275862068966,7.0
3,Wolof,148,low,50.8445945945946,44.0,103.30000000000001,11.0,9.0
3,Fula,145,low,49.73103448275862,45.0,95.79999999999998,9.186206896551724,8.0
3,Hebrew,154,medium,47.22727272727273,41.0,95.09999999999985,9.318181818181818,8.0
3,Arabic,152,high,46.5,39.0,89.79999999999995,8.802631578947368,7.0
3,Thai,147,medium,44.523809523809526,40.0,80.39999999999998,1.7346938775510203,1.0
3,Amharic,146,low,42.965753424657535,37.0,99.25,8.506849315068493,7.0
3,English,64,high,38.859375,35.0,72.69999999999999,7.828125,7.0
3,Korean,141,high,31.04255319148936,26.0,64.0,8.0,7.0
3,Japanese,134,high,22.65671641791045,20.0,43.04999999999998,1.7686567164179106,1.0
3,Chinese (Simplified),145,high,18.09655172413793,15.0,41.39999999999995,1.3379310344827586,1.0
3,Chinese (Traditional),128,high,14.4453125,12.5,25.299999999999983,1.15625,1.0
